Rahul Sud


IMAGE NO., DETECTOR TYPE, DESCRIPTOR TYPE, TOTAL KEYPOINTS, DETECTOR ELAPSED TIME, DESCRIPTOR ELAPSED TIME, MATCHED KEYPOINTS, MATCHER ELAPSED TIME
5, BRISK, ORB, 2695, 0.0254121, 0.00703841, 154, 0.000218221
6, BRISK, ORB, 2715, 0.025407, 0.00648119, 180, 0.000205297
7, BRISK, ORB, 2628, 0.0259223, 0.00650129, 171, 0.000255486
8, BRISK, ORB, 2639, 0.0252575, 0.00658207, 175, 0.000216897
9, BRISK, ORB, 2672, 0.0253286, 0.0064503, 172, 0.000191633

0, BRISK, FREAK, 2757, 0.0257248, 0.017447, 513595792, 6.95296e-310
1, BRISK, FREAK, 2777, 0.0258981, 0.0174777, 160, 0.000204471
2, BRISK, FREAK, 2741, 0.0255562, 0.0174827, 178, 0.000213419
3, BRISK, FREAK, 2735, 0.0253729, 0.0174754, 156, 0.00021428
4, BRISK, FREAK, 2757, 0.0255773, 0.0175307, 173, 0.000219533
5, BRISK, FREAK, 2695, 0.0260325, 0.0173899, 160, 0.000223429
6, BRISK, FREAK, 2715, 0.0255382, 0.0176834, 183, 0.000245253
7, BRISK, FREAK, 2628, 0.0249881, 0.0174632, 169, 0.000223831
8, BRISK, FREAK, 2639, 0.0253309, 0.0174469, 179, 0.000236724
9, BRISK, FREAK, 2672, 0.0252798, 0.0173835, 168, 0.000212518

0, ORB, BRISK, 500, 0.00396614, 0.00079226, 513595792, 6.95296e-310
1, ORB, BRISK, 500, 0.00370378, 0.000796838, 73, 7.4782e-05
2, ORB, BRISK, 500, 0.0036016, 0.000786158, 74, 8.0378e-05
3, ORB, BRISK, 500, 0.00367252, 0.000846598, 79, 9.3074e-05
4, ORB, BRISK, 500, 0.00363676, 0.000838145, 85, 0.000136742
5, ORB, BRISK, 500, 0.00360873, 0.000931267, 79, 0.000108941
6, ORB, BRISK, 500, 0.00364891, 0.000962251, 92, 0.000109484
7, ORB, BRISK, 500, 0.00368217, 0.000963925, 90, 0.000129297
8, ORB, BRISK, 500, 0.00367465, 0.000977223, 88, 0.000104328
9, ORB, BRISK, 500, 0.00369445, 0.000958211, 91, 0.000104063

0, ORB, BRIEF, 500, 0.00375052, 0.000242362, 513595792, 6.95296e-310
1, ORB, BRIEF, 500, 0.00361862, 0.000247718, 49, 5.8523e-05
2, ORB, BRIEF, 500, 0.00361583, 0.000263802, 43, 8.3845e-05
3, ORB, BRIEF, 500, 0.00356855, 0.00026542, 45, 9.6897e-05
4, ORB, BRIEF, 500, 0.00356309, 0.000259391, 59, 9.4399e-05
5, ORB, BRIEF, 500, 0.00359696, 0.0002874, 53, 0.000103316
6, ORB, BRIEF, 500, 0.00361122, 0.000292914, 78, 0.000110602
7, ORB, BRIEF, 500, 0.00363106, 0.000298557, 68, 9.1877e-05
8, ORB, BRIEF, 500, 0.00366701, 0.000290678, 84, 0.000105768
9, ORB, BRIEF, 500, 0.00386583, 0.000301992, 66, 0.00010846

0, ORB, ORB, 500, 0.00362405, 0.00674553, 513595792, 6.95296e-310
1, ORB, ORB, 500, 0.00359934, 0.00673425, 65, 9.64e-05
2, ORB, ORB, 500, 0.0036097, 0.00675552, 69, 0.00015599
3, ORB, ORB, 500, 0.00367826, 0.00684453, 71, 9.1302e-05
4, ORB, ORB, 500, 0.00358363, 0.00708659, 85, 0.000148627
5, ORB, ORB, 500, 0.00360575, 0.0067912, 91, 0.000102836
6, ORB, ORB, 500, 0.00363327, 0.00679399, 101, 0.000147127
7, ORB, ORB, 500, 0.00362758, 0.00675971, 95, 0.000111967
8, ORB, ORB, 500, 0.00366929, 0.00677172, 93, 0.000108083
9, ORB, ORB, 500, 0.00369489, 0.00683568, 91, 0.000101907

0, ORB, FREAK, 500, 0.00367212, 0.0166614, 513595792, 6.95296e-310
